department_id,department_code,department_name,division,cost_center,annual_budget,status,created_date
1,HR001,Human Resources,Corporate,CC1001,4500000,Active,2018-01-01
2,FIN001,Finance,Corporate,CC1002,8500000,Active,2018-01-01
3,IT001,Information Technology,Technology,CC1003,25000000,Active,2018-01-01
4,SAL001,Sales,Commercial,CC1004,18000000,Active,2018-01-01
5,MKT001,Marketing,Commercial,CC1005,12000000,Active,2018-01-01
6,OPS001,Operations,Business Operations,CC1006,32000000,Active,2018-01-01
7,CS001,Customer Support,Business Operations,CC1007,9000000,Active,2018-01-01
8,PROC001,Procurement,Supply Chain,CC1008,7000000,Active,2018-01-01
9,SCM001,Supply Chain,Supply Chain,CC1009,22000000,Active,2018-01-01
10,LEG001,Legal,Corporate,CC1010,6000000,Active,2018-01-01
11,ADM001,Administration,Corporate,CC1011,6500000,Active,2018-01-01
12,RD001,Research & Development,Technology,CC1012,28000000,Active,2018-01-01
13,PM001,Product Management,Technology,CC1013,17000000,Active,2018-01-01
14,DA001,Data Analytics,Technology,CC1014,11000000,Active,2018-01-01
15,BI001,Business Intelligence,Technology,CC1015,10000000,Active,2018-01-01
16,QA001,Quality Assurance,Technology,CC1016,9000000,Active,2018-01-01
17,ENG001,Engineering,Technology,CC1017,35000000,Active,2018-01-01
18,SEC001,Information Security,Technology,CC1018,8000000,Active,2018-01-01
19,CMP001,Compliance,Corporate,CC1019,7500000,Active,2018-01-01
20,LND001,Learning & Development,Human Capital,CC1020,5000000,Active,2018-01-01
21,FAC001,Facilities Management,Corporate,CC1021,6500000,Active,2018-01-01
22,STR001,Corporate Strategy,Executive,CC1022,14000000,Active,2018-01-01
23,INT001,Internal Audit,Corporate,CC1023,7000000,Active,2018-01-01
24,COM001,Corporate Communications,Corporate,CC1024,5500000,Active,2018-01-01
25,PMO001,Project Management Office,Executive,CC1025,9500000,Active,2018-01-01
